"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4208885CE",108,79,92,13,-0.600687288511602
"4208885CW",47,1,46,45,0.345499342034474
"4208885NE",78,3,78,75,1.23254930817142
"4208885NW",94,91,50,-41,-2.19737722755811
"4208885SE",131,84,129,45,0.345499342034474
"4208885SW",66,58,33,-25,-1.72428391228507
"4208886CE",114,70,109,39,0.168089348807085
"4208886CW",50,1,50,49,0.463772670852734
"4208886SE",76,51,59,8,-0.748528949534427
"4208886SW",123,46,123,77,1.29168597258055
"4208887CE",105,82,91,9,-0.718960617329862
"4208887CW",126,34,120,86,1.55780096242163
"4208887NE",59,1,59,58,0.729887660693818
"4208887NW",98,19,96,77,1.29168597258055
"4208887SE",121,49,120,71,1.11427597935316
"4208887SW",53,9,48,39,0.168089348807085
"4208888CE",107,72,97,25,-0.245867302056824
"4208888CW",84,76,51,-25,-1.72428391228507
"4208888NE",138,12,138,126,2.74053425060423
"4208888NW",122,81,105,24,-0.275435634261389
"4208888SE",120,81,114,33,-0.0093206444203047
"4208888SW",80,73,30,-43,-2.25651389196724
"4208951CE",136,59,135,76,1.26211764037599
"4208951NE",103,7,103,96,1.85348428446728
"4208951NW",60,3,59,56,0.670750996284688
"4208951SE",89,1,89,88,1.61693762683076
"4208952CE",85,48,80,32,-0.0388889766248696
"4208952SE",79,70,51,-19,-1.54687391905768
"4208953CE",107,65,104,39,0.168089348807085
"4208953CW",101,2,101,99,1.94218928108098
"4208953NW",83,24,80,56,0.670750996284688
"4208953SE",128,68,127,59,0.759455992898383
"4208953SW",120,49,118,69,1.05513931494403
"4208954CE",105,50,101,51,0.522909335261863
"4208955CE",77,35,75,40,0.19765768101165
"4208955NE",36,1,35,34,0.0202476877842602
"4208956CE",72,43,67,24,-0.275435634261389
"4208957CE",141,76,138,62,0.848160989512077
"4208957NE",92,1,92,91,1.70564262344446
"4208958CE",85,62,79,17,-0.482413959693343
"4208961CE",113,63,106,43,0.286362677625344
"4208961CW",119,3,119,116,2.44485092855858
"4208961NW",100,14,99,85,1.52823263021707
"4208962CE",74,44,69,25,-0.245867302056824
"4208963CE",100,51,98,47,0.404636006443604
"4208963SW",19,2,18,16,-0.511982291897908
"4208964CE",100,83,94,11,-0.659823952920732
"4208964CW",97,65,94,29,-0.127593973238564
"4208964NE",68,27,60,33,-0.0093206444203047
"4208964NW",116,32,116,84,1.4986642980125
"4208964SE",130,48,128,80,1.38039096919425
"4208964SW",20,19,1,-18,-1.51730558685311
"4208965CE",97,75,81,6,-0.807665613943557
"4208965NW",3,1,2,1,-0.955507274966381
"4208965SW",42,4,42,38,0.13852101660252
"4208966CE",83,60,72,12,-0.630255620716167
"4208966NW",19,2,17,15,-0.541550624102473
"4208967CE",91,84,79,-5,-1.13291726819377
"4208967CW",55,1,54,53,0.582045999670993
"4208967NE",50,2,48,46,0.375067674239039
"4208967NW",58,58,9,-49,-2.43392388519463
"4208967SW",57,2,56,54,0.611614331875558
"4208968CE",96,61,93,32,-0.0388889766248696
"4208971CE",106,62,92,30,-0.0980256410339994
"4208971NW",79,1,78,77,1.29168597258055
"4208971SE",8,1,7,6,-0.807665613943557
"4208971SW",50,36,40,4,-0.866802278352687
"4208972CE",101,63,94,31,-0.0684573088294345
"4208972NE",73,2,73,71,1.11427597935316
"4208973CE",101,44,96,52,0.552477667466428
"4208973SE",90,5,90,85,1.52823263021707
"4208973SW",42,12,37,25,-0.245867302056824
"4208974CE",97,51,92,41,0.227226013216214
"4208974NW",121,105,111,6,-0.807665613943557
"4208975CE",94,74,84,10,-0.689392285125297
"4208975NE",55,3,54,51,0.522909335261863
"4208976CE",96,81,88,7,-0.778097281738992
"4208976CW",24,1,23,22,-0.334572298670519
"4208976NW",49,8,44,36,0.07938435219339
"4208976SE",74,17,74,57,0.700319328489253
"4208977CE",96,84,88,4,-0.866802278352687
"4208977CW",31,7,29,22,-0.334572298670519
"4208977NE",100,6,98,92,1.73521095564902
"4208978CE",93,80,85,5,-0.837233946148122
"4208978NE",66,66,15,-51,-2.49306054960376
"4208978SW",149,87,134,47,0.404636006443604
"4208981CE",117,74,110,36,0.07938435219339
"4208981NE",105,7,104,97,1.88305261667185
"4208981SE",84,1,84,83,1.46909596580794
"4208982CE",103,51,98,47,0.404636006443604
"4208982CW",116,6,115,109,2.23787260312663
"4208982SW",66,1,66,65,0.936865986125772
"4208983CE",110,83,95,12,-0.630255620716167
"4208983CW",108,4,107,103,2.06046260989924
"4208983NE",113,2,112,110,2.26744093533119
"4208983NW",116,2,115,113,2.35614593194489
"4208983SE",55,1,55,54,0.611614331875558
"4208984CE",140,51,138,87,1.5873692946262
"4208984NW",90,2,90,88,1.61693762683076
"4208985CE",107,75,99,24,-0.275435634261389
"4208985CW",88,23,84,61,0.818592657307512
"4208985NE",81,1,80,79,1.35082263698968
"4208985NW",69,1,68,67,0.996002650534902
"4208986CE",99,69,91,22,-0.334572298670519
"4208986CW",62,45,47,2,-0.925938942761816
"4208986SW",76,42,75,33,-0.0093206444203047
"4208987CE",84,70,75,5,-0.837233946148122
"4208987CW",102,64,100,36,0.07938435219339
"4208987NE",82,57,76,19,-0.423277295284213
"4208987NW",88,71,83,12,-0.630255620716167
"4208987SE",71,56,47,-9,-1.25119059701203
"4208988CE",101,76,97,21,-0.364140630875083
"4208988CW",65,61,40,-21,-1.60601058346681
"4208988NE",82,65,77,12,-0.630255620716167
"4208988NW",65,62,28,-34,-1.99039890212615
"4209051CE",83,73,72,-1,-1.01464393937551
"4209052CE",54,30,51,21,-0.364140630875083
"4209053CE",76,59,68,9,-0.718960617329862
"4209054CE",68,58,65,7,-0.778097281738992
"4209055CE",64,54,56,2,-0.925938942761816
"4209055SW",39,2,37,35,0.0498160199888251
"4209056CE",105,33,105,72,1.14384431155773
"4209056NE",39,38,1,-37,-2.07910389873985
"4209061CE",85,59,79,20,-0.393708963079648
"4209061CW",60,27,55,28,-0.157162305443129
"4209061SE",77,51,60,9,-0.718960617329862
"4209061SW",8,6,3,-3,-1.07378060378464
"4209062CE",81,57,74,17,-0.482413959693343
"4209062NE",68,50,44,-6,-1.16248560039834
"4209063CE",58,38,54,16,-0.511982291897908
"4209063CW",34,5,31,26,-0.216298969852259
"4209063NW",17,4,14,10,-0.689392285125297
"4209064CE",65,55,56,1,-0.955507274966381
"4209064NW",38,7,36,29,-0.127593973238564
"4209065CE",76,33,73,40,0.19765768101165
"4209066CE",82,62,77,15,-0.541550624102473
"4209066CW",60,4,59,55,0.641182664080123
"4209066NE",41,1,40,39,0.168089348807085
"4209066SE",43,1,42,41,0.227226013216214
"4209067CE",98,75,88,13,-0.600687288511602
"4209067CW",55,1,55,54,0.611614331875558
"4209067SE",1,1,1,0,-0.985075607170946
"4209068CE",101,83,92,9,-0.718960617329862
"4209071CE",87,59,82,23,-0.305003966465954
"4209071NW",33,2,31,29,-0.127593973238564
"4209072CE",87,71,79,8,-0.748528949534427
"4209072SW",72,67,43,-24,-1.6947155800805
"4209073CE",83,61,75,14,-0.571118956307038
"4209073SW",49,1,49,48,0.434204338648169
"4209074CE",74,56,66,10,-0.689392285125297
"4209075CE",76,56,70,14,-0.571118956307038
"4209076CE",83,61,80,19,-0.423277295284213
"4209076NW",36,1,35,34,0.0202476877842602
"4209077CE",76,66,69,3,-0.896370610557251
"4209078CE",80,62,73,11,-0.659823952920732
"4209078NE",6,1,5,4,-0.866802278352687
"4209078NW",33,1,32,31,-0.0684573088294345
"4209081CE",101,52,98,46,0.375067674239039
"4209081NE",57,6,55,49,0.463772670852734
"4209082CE",81,61,75,14,-0.571118956307038
"4209082SE",72,51,59,8,-0.748528949534427
"4209082SW",83,6,83,77,1.29168597258055
"4209083CE",75,57,70,13,-0.600687288511602
"4209084CE",64,43,59,16,-0.511982291897908
"4209084NW",41,39,3,-36,-2.04953556653528
"4209085CE",82,63,75,12,-0.630255620716167
"4209085SW",60,5,59,54,0.611614331875558
"4209086CE",75,55,63,8,-0.748528949534427
"4209087CE",83,64,71,7,-0.778097281738992
"4209088CE",68,55,61,6,-0.807665613943557
"4209088NE",58,3,57,54,0.611614331875558
"4209161NE",117,1,117,116,2.44485092855858
"4209171CE",111,41,107,66,0.966434318330337
"4209171CW",107,22,105,83,1.46909596580794
"4209171NW",62,1,62,61,0.818592657307512
"4209171SE",111,9,111,102,2.03089427769467
"4209171SW",67,14,65,51,0.522909335261863
"4209181CE",81,67,73,6,-0.807665613943557
"4209181CW",53,2,53,51,0.522909335261863
"4209181NE",62,1,62,61,0.818592657307512
"4209181NW",153,92,147,55,0.641182664080123
"4209182CE",94,78,84,6,-0.807665613943557
"4209182NE",134,80,131,51,0.522909335261863
"4308718CE",172,65,171,106,2.14916760651293
"4308718CW",130,4,130,126,2.74053425060423
"4308718NE",134,52,131,79,1.35082263698968
"4308718NW",85,7,81,74,1.20298097596686
"4308718SE",89,22,85,63,0.877729321716642
"4308718SW",115,10,115,105,2.11959927430837
"4308728CE",161,82,157,75,1.23254930817142
"4308728CW",127,10,127,117,2.47441926076315
"4308728NE",99,40,94,54,0.611614331875558
"4308728NW",109,48,106,58,0.729887660693818
"4308728SE",122,24,121,97,1.88305261667185
"4308728SW",121,34,121,87,1.5873692946262
"4308738CE",113,76,105,29,-0.127593973238564
"4308738CW",79,5,78,73,1.17341264376229
"4308738NE",174,28,173,145,3.30233256249096
"4308738NW",81,1,81,80,1.38039096919425
"4308738SE",66,1,66,65,0.936865986125772
"4308738SW",108,54,100,46,0.375067674239039
"4308747NE",178,15,178,163,3.83456254217313
"4308747NW",158,10,155,145,3.30233256249096
"4308747SW",138,8,138,130,2.85880757942249
"4308748CE",141,87,125,38,0.13852101660252
"4308748CW",116,62,109,47,0.404636006443604
"4308748NE",93,31,86,55,0.641182664080123
"4308748NW",102,1,101,100,1.97175761328554
"4308748SE",84,1,84,83,1.46909596580794
"4308748SW",111,1,111,110,2.26744093533119
"4308757CW",81,7,78,71,1.11427597935316
"4308757NW",90,27,90,63,0.877729321716642
"4308757SE",69,1,69,68,1.02557098273947
"4308757SW",145,21,143,122,2.62226092178597
"4308758CE",101,65,93,28,-0.157162305443129
"4308758NE",12,3,9,6,-0.807665613943557
"4308758SE",83,13,82,69,1.05513931494403
"4308766CW",141,52,139,87,1.5873692946262
"4308766NW",100,1,100,99,1.94218928108098
"4308766SW",135,62,132,70,1.0847076471486
"4308767CE",82,61,73,12,-0.630255620716167
"4308767CW",63,1,62,61,0.818592657307512
"4308767NE",86,70,64,-6,-1.16248560039834
"4308767SW",69,10,67,57,0.700319328489253
"4308768CE",77,57,68,11,-0.659823952920732
"4308768SW",31,2,29,27,-0.186730637647694
"4308776SW",138,5,136,131,2.88837591162705
"4308777CE",92,62,83,21,-0.364140630875083
"4308777NW",43,14,41,27,-0.186730637647694
"4308778CE",76,44,64,20,-0.393708963079648
"4308778NE",76,74,3,-71,-3.08442719369505
"4308778NW",56,2,56,54,0.611614331875558
"4308786CW",135,1,135,134,2.97708090824075
"4308786NW",145,1,145,144,3.2727642302864
"4308787CE",107,67,102,35,0.0498160199888251
