atlas_block,checklists_total,checklists_Atlas1,checklists_Atlas2,checklists_diff,sr_total,sr_Atlas1,sr_Atlas2,sr_diff
4308877SE,5,1,4,3,41,1,40,39
4308878CE,70,6,64,58,111,74,101,27
4308878NW,69,1,68,67,100,1,100,99
4308881CE,49,7,42,35,116,80,100,20
4308881CW,9,1,8,7,38,1,37,36
4308881SE,33,1,32,31,90,60,78,18
4308882CE,54,11,43,32,113,64,104,40
4308882CW,63,30,33,3,117,102,81,-21
4308882NW,63,52,11,-41,107,100,58,-42
4308882SW,82,20,62,42,103,79,92,13
4308883CE,82,27,55,28,96,71,85,14
4308883NE,43,1,42,41,65,1,65,64
4308884CW,44,22,22,0,68,37,63,26
4308884SW,108,11,97,86,89,35,85,50
4308885CE,27,12,15,3,84,62,73,11
4308885CW,9,2,7,5,54,8,52,44
4308885NE,40,2,38,36,81,4,81,77
4308885NW,56,8,48,40,70,33,57,24
4308885SE,16,2,14,12,63,3,61,58
4308885SW,6,1,5,4,37,1,36,35
4308886CE,28,7,21,14,91,46,88,42
4308886CW,26,11,15,4,91,73,74,1
4308886NW,4,3,1,-2,7,3,4,1
4308887CE,65,28,37,9,119,105,95,-10
4308887CW,58,2,56,54,118,2,118,116
4308887NE,44,14,30,16,130,66,125,59
4308887NW,8,6,2,-4,66,65,14,-51
4308887SE,31,7,24,17,104,68,98,30
4308888CE,58,14,44,30,106,70,95,25
4308888SE,29,16,13,-3,63,53,40,-13
4308888SW,5,2,3,1,13,2,11,9
4308911CE,68,5,63,58,104,58,99,41
4308912CE,51,10,41,31,87,58,80,22
4308913CE,196,44,152,108,110,73,102,29
4308913CW,251,2,249,247,143,2,142,140
4308913NE,386,2,384,382,126,7,125,118
4308913NW,294,10,284,274,131,8,129,121
4308913SE,136,1,135,134,127,1,127,126
4308913SW,330,53,277,224,196,93,194,101
4308914CE,595,69,526,457,158,77,152,75
4308914CW,423,45,378,333,150,53,148,95
4308914NE,288,32,256,224,152,71,149,78
4308914NW,168,1,167,166,154,1,154,153
4308914SE,101,4,97,93,114,4,112,108
4308914SW,291,8,283,275,141,9,141,132
4308915CE,201,26,175,149,86,60,76,16
4308915CW,58,3,55,52,103,7,103,96
4308915NE,344,14,330,316,162,18,161,143
4308915SW,56,3,53,50,54,5,51,46
4308916CE,107,37,70,33,104,76,102,26
4308916CW,4,3,1,-2,5,3,2,-1
4308916NE,18,1,17,16,52,1,52,51
4308916SW,16,2,14,12,61,2,61,59
4308917CE,75,49,26,-23,94,68,84,16
4308917CW,76,74,2,-72,94,84,66,-18
4308917NE,29,2,27,25,84,2,84,82
4308917NW,31,16,15,-1,59,39,38,-1
4308917SE,7,2,5,3,26,11,20,9
4308917SW,71,28,43,15,95,86,76,-10
4308918CE,62,13,49,36,124,81,119,38
4308918SE,7,4,3,-1,39,18,33,15
4308918SW,13,3,10,7,62,15,57,42
4308921CE,124,20,104,84,104,65,97,32
4308921CW,28,4,24,20,61,5,59,54
4308921NE,10,2,8,6,36,2,35,33
4308922CE,113,17,96,79,146,66,139,73
4308922NE,8,1,7,6,42,1,41,40
4308923CE,105,22,83,61,124,69,119,50
4308923CW,311,73,238,165,158,74,157,83
4308923NE,8,1,7,6,28,1,27,26
4308923NW,50,3,47,44,84,3,84,81
4308923SE,34,1,33,32,56,15,51,36
4308923SW,158,37,121,84,121,53,118,65
4308924CE,107,23,84,61,138,53,137,84
4308924CW,213,5,208,203,106,5,106,101
4308924NE,152,6,146,140,120,7,119,112
4308924SE,211,25,186,161,160,61,160,99
4308924SW,20,2,18,16,63,3,63,60
4308925CE,51,14,37,23,106,60,94,34
4308925NE,49,41,8,-33,79,66,52,-14
4308925SW,7,3,4,1,31,6,28,22
4308926CE,55,22,33,11,111,87,92,5
4308926CW,9,1,8,7,52,1,52,51
4308926NE,8,1,7,6,38,1,38,37
4308926NW,26,1,25,24,75,1,75,74
4308926SE,14,1,13,12,66,2,66,64
4308926SW,16,10,6,-4,30,8,25,17
4308927CE,67,21,46,25,108,74,103,29
4308927CW,38,1,37,36,103,2,103,101
4308927NE,90,37,53,16,115,47,114,67
4308927SE,18,3,15,12,59,3,56,53
4308927SW,7,1,6,5,64,1,64,63
4308928CE,209,25,184,159,156,94,150,56
4308931CE,54,16,38,22,83,68,73,5
4308931NE,19,1,18,17,32,2,31,29
4308932CE,66,34,32,-2,93,74,78,4
4308933CE,119,24,95,71,116,78,105,27
4308933CW,346,47,299,252,127,72,122,50
4308933NE,206,9,197,188,138,27,137,110
4308933NW,34,6,28,22,72,7,70,63
4308933SE,58,3,55,52,95,6,94,88
4308933SW,34,5,29,24,66,5,65,60
4308934CE,142,21,121,100,100,56,96,40
4308934CW,6,1,5,4,9,1,8,7
4308934NW,23,2,21,19,51,2,51,49
4308934SE,139,13,126,113,112,32,106,74
4308934SW,28,2,26,24,76,2,76,74
4308935CE,103,13,90,77,107,69,99,30
4308935NE,5,1,4,3,10,1,9,8
4308935SE,10,1,9,8,71,8,68,60
4308936CE,99,27,72,45,110,75,101,26
4308936CW,59,18,41,23,98,54,89,35
4308936NE,9,1,8,7,28,1,27,26
4308936NW,186,21,165,144,114,85,109,24
4308936SE,35,26,9,-17,109,79,84,5
4308936SW,66,8,58,50,110,7,109,102
4308937CE,59,13,46,33,92,62,87,25
4308937CW,72,1,71,70,72,1,72,71
4308937NE,78,15,63,48,72,55,65,10
4308937NW,55,3,52,49,86,40,82,42
4308937SE,35,2,33,31,68,3,67,64
4308937SW,40,13,27,14,66,15,63,48
4308938CE,73,29,44,15,95,82,87,5
4308938NE,100,24,76,52,126,98,118,20
4308938NW,429,82,347,265,140,115,130,15
4308941CE,117,64,53,-11,104,69,83,14
4308941SE,18,2,16,14,48,2,46,44
4308942CE,134,38,96,58,124,112,107,-5
4308942CW,73,1,72,71,75,1,75,74
4308942SW,18,1,17,16,66,1,66,65
4308943CE,185,13,172,159,130,79,125,46
4308943CW,83,3,80,77,91,4,89,85
4308943NE,96,2,94,92,89,2,88,86
4308943NW,15,3,12,9,38,4,36,32
4308943SE,71,12,59,47,107,35,101,66
4308943SW,31,10,21,11,60,14,53,39
4308944CE,179,28,151,123,121,96,108,12
4308944CW,98,8,90,82,87,7,87,80
4308944NE,54,3,51,48,85,3,84,81
4308944SE,33,2,31,29,80,2,80,78
4308944SW,9,1,8,7,5,1,4,3
4308945CE,144,11,133,122,104,61,101,40
4308945CW,34,3,31,28,63,7,62,55
4308945NE,124,6,118,112,94,40,90,50
4308945SE,17,3,14,11,56,6,54,48
4308946CE,139,29,110,81,116,91,103,12
4308946CW,36,1,35,34,93,2,93,91
4308946NE,29,6,23,17,89,56,83,27
4308946NW,32,23,9,-14,60,50,42,-8
4308946SE,52,35,17,-18,104,96,76,-20
4308946SW,395,74,321,247,151,120,137,17
4308947CE,118,57,61,4,108,67,96,29
4308947CW,47,4,43,39,74,39,67,28
4308947SE,296,40,256,216,143,100,138,38
4308947SW,85,12,73,61,90,68,84,16
4308948CE,47,10,37,27,91,69,86,17
4308948CW,10,1,9,8,59,23,55,32
4308948NE,18,3,15,12,77,34,73,39
4308948NW,2,1,1,0,38,36,11,-25
4308948SE,54,17,37,20,84,55,72,17
4308951CE,61,9,52,43,84,61,74,13
4308952CE,105,23,82,59,95,77,86,9
4308953CE,105,20,85,65,93,77,84,7
4308953CW,20,2,18,16,57,2,56,54
4308953SE,87,30,57,27,81,71,61,-10
4308953SW,16,2,14,12,46,2,46,44
4308954CE,81,27,54,27,119,89,108,19
4308954CW,25,7,18,11,37,7,33,26
4308954NE,9,3,6,3,25,3,23,20
4308954NW,85,26,59,33,58,29,55,26
4308954SE,97,4,93,89,98,6,97,91
4308954SW,87,10,77,67,109,7,105,98
4308955CE,83,14,69,55,117,93,105,12
4308955CW,45,13,32,19,95,75,70,-5
4308955NW,22,2,20,18,67,2,66,64
4308955SW,36,12,24,12,94,80,64,-16
4308956CE,122,30,92,62,124,86,120,34
4308956NW,7,1,6,5,53,1,52,51
4308957CE,172,15,157,142,118,58,112,54
4308957CW,7,2,5,3,45,2,43,41
4308957NE,9,2,7,5,33,2,31,29
4308957NW,10,1,9,8,48,1,48,47
4308957SE,3,1,2,1,4,1,3,2
4308957SW,9,1,8,7,62,23,56,33
4308958CE,106,20,86,66,110,88,92,4
4308958SE,5,3,2,-1,63,60,14,-46
4308961CE,40,7,33,26,71,60,55,-5
4308961NE,12,1,11,10,38,1,38,37
4308961SE,36,9,27,18,94,55,82,27
4308962CE,76,4,72,68,116,74,110,36
4308962CW,12,1,11,10,77,1,76,75
4308962NE,57,2,55,53,103,2,102,100
4308962NW,73,24,49,25,145,110,126,16
4308963CE,24,6,18,12,111,72,108,36
4308963NE,36,3,33,30,102,3,101,98
4308963SW,5,1,4,3,45,1,44,43
4308964CE,44,15,29,14,106,89,98,9
4308964SE,20,1,19,18,57,1,56,55
4308964SW,2,1,1,0,2,1,1,0
4308965CE,17,10,7,-3,102,86,81,-5
4308965CW,41,1,40,39,75,1,75,74
4308965SW,21,1,20,19,62,1,62,61
4308966CE,57,8,49,41,101,78,89,11
4308966NE,40,1,39,38,64,4,63,59
4308966NW,11,1,10,9,38,1,38,37
4308967CE,63,10,53,43,110,84,99,15
4308967CW,15,1,14,13,45,1,45,44
4308967SE,26,2,24,22,76,2,75,73
4308968CE,39,17,22,5,94,61,85,24
4308968SE,8,2,6,4,68,5,65,60
4308971CE,119,8,111,103,123,68,117,49
4308971NE,366,49,317,268,146,77,137,60
4308971SE,56,2,54,52,83,4,83,79
4308971SW,16,3,13,10,54,4,53,49
4308972CE,73,11,62,51,122,99,109,10
4308972NE,20,4,16,12,49,4,47,43
4308972NW,9,2,7,5,49,2,48,46
4308972SE,38,8,30,22,37,8,36,28
4308973CE,125,13,112,99,111,87,100,13
4308973CW,31,1,30,29,62,1,62,61
4308973NW,52,29,23,-6,87,59,78,19
4308973SE,18,5,13,8,96,79,49,-30
4308973SW,14,2,12,10,63,2,61,59
4308974CE,23,10,13,3,89,80,71,-9
4308974SE,3,1,2,1,9,1,8,7
4308975CE,30,5,25,20,105,78,94,16
4308975CW,3,1,2,1,9,1,8,7
4308976CE,34,4,30,26,106,88,89,1
4308976CW,13,1,12,11,28,1,28,27
4308976SW,31,1,30,29,56,1,56,55
4308977CE,46,4,42,38,93,61,85,24
4308977NW,24,5,19,14,99,84,77,-7
4308977SW,11,2,9,7,72,2,71,69
4308978CE,38,9,29,20,110,95,82,-13
4308978SW,10,1,9,8,43,1,43,42
4308981CE,71,15,56,41,134,93,126,33
4308981CW,144,19,125,106,136,91,129,38
4308981SE,93,9,84,75,136,82,131,49
4308981SW,94,18,76,58,135,84,126,42
4308982CE,86,10,76,66,121,88,109,21
4308982CW,45,1,44,43,65,1,65,64
4308982NE,47,1,46,45,98,1,98,97
4308982SW,11,1,10,9,45,1,45,44
4308983CE,85,27,58,31,108,92,89,-3
4308983CW,26,4,22,18,78,4,77,73
4308983NW,20,11,9,-2,98,82,65,-17
4308983SE,98,40,58,18,135,112,118,6
4308983SW,24,1,23,22,54,1,53,52
4308984CE,46,15,31,16,94,78,77,-1
4308984NE,13,2,11,9,63,6,59,53
4308984SE,63,1,62,61,80,3,79,76
4308984SW,46,3,43,40,69,4,66,62
4308985CE,78,7,71,64,98,73,92,19
4308986CE,27,5,22,17,88,70,77,7
4308987CE,27,4,23,19,98,66,89,23
4308987CW,8,1,7,6,54,1,53,52
4308987SW,42,6,36,30,119,71,114,43
4308988CE,36,6,30,24,106,75,101,26
4309011CE,45,12,33,21,100,65,93,28
4309011SW,136,15,121,106,158,87,151,64
4309012CE,84,5,79,74,90,67,87,20
4309012SE,16,1,15,14,69,6,69,63
4309013CE,67,7,60,53,85,71,82,11
4309013NW,8,1,7,6,47,1,47,46
4309013SE,15,2,13,11,59,2,59,57
4309014CE,65,18,47,29,82,61,77,16
4309014SE,41,3,38,35,50,4,50,46
4309015CE,104,11,93,82,95,70,92,22
4309015NW,6,1,5,4,50,1,49,48
4309015SE,59,49,10,-39,73,58,38,-20
4309016CE,68,5,63,58,77,64,71,7
4309017CE,42,9,33,24,91,76,82,6
4309017NE,31,9,22,13,105,85,83,-2
4309017NW,38,7,31,24,104,91,86,-5
4309018CE,73,28,45,17,112,90,103,13
4309018NE,20,5,15,10,82,22,78,56
4309021CE,331,49,282,233,132,93,124,31
4309021CW,51,1,50,49,106,1,105,104
4309021NE,25,16,9,-7,69,32,61,29
4309021SE,90,1,89,88,125,1,125,124
4309021SW,21,1,20,19,75,1,75,74
4309022CE,113,20,93,73,154,84,150,66
4309022CW,34,3,31,28,106,3,105,102
4309022NW,2,1,1,0,17,1,17,16
4309023CE,139,9,130,121,115,83,110,27
4309023NE,12,2,10,8,67,4,67,63
4309024CE,68,17,51,34,130,95,124,29
4309024CW,73,2,71,69,90,2,90,88
4309025CE,126,13,113,100,128,78,122,44
4309025CW,96,2,94,92,113,11,113,102
4309026CE,42,14,28,14,108,86,100,14
4309026SW,30,1,29,28,71,1,70,69
4309027CE,106,29,77,48,90,71,80,9
4309027CW,31,5,26,21,64,6,62,56
4309027NW,9,1,8,7,41,1,41,40
4309027SW,15,2,13,11,41,2,40,38
4309028CE,52,33,19,-14,104,90,93,3
4309028SE,14,2,12,10,61,2,60,58
4309031CE,52,20,32,12,97,81,90,9
4309032CE,84,34,50,16,98,78,95,17
4309032CW,13,11,2,-9,70,66,14,-52
4309032SE,184,69,115,46,115,86,108,22
4309033CE,48,25,23,-2,94,82,82,0
4309033CW,7,1,6,5,24,1,24,23
4309033SE,6,2,4,2,33,14,22,8
4309034CE,125,17,108,91,93,59,86,27
4309034NE,10,1,9,8,42,1,42,41
4309034SW,9,1,8,7,41,1,40,39
4309035CE,91,40,51,11,97,78,87,9
4309035SE,64,60,4,-56,70,66,15,-51
4309036CE,40,9,31,22,92,76,84,8
4309036SW,89,19,70,51,84,54,67,13
4309037CE,75,40,35,-5,82,72,76,4
4309037CW,17,12,5,-7,31,12,21,9
4309037NW,8,2,6,4,46,4,44,40
4309037SE,38,1,37,36,57,1,56,55
4309037SW,7,2,5,3,44,2,43,41
4309038CE,28,10,18,8,81,54,72,18
4309041CE,42,13,29,16,82,68,71,3
4309042CE,32,9,23,14,87,77,76,-1
4309042NE,6,1,5,4,35,1,35,34
4309042NW,10,1,9,8,52,1,51,50
4309043CE,42,5,37,32,83,59,77,18
4309043NW,37,9,28,19,63,31,51,20
4309044CE,111,35,76,41,97,73,90,17
4309044CW,13,4,9,5,40,6,38,32
4309044NE,13,4,9,5,64,51,36,-15
4309044SE,8,1,7,6,40,2,38,36
4309044SW,16,11,5,-6,55,29,45,16
4309045CE,121,42,79,37,94,80,81,1
4309045NE,222,74,148,74,104,78,96,18
4309045SE,11,4,7,3,41,4,40,36
4309046CE,89,22,67,45,83,67,76,9
4309046NE,16,7,9,2,54,9,51,42
4309046NW,11,1,10,9,29,1,28,27
4309047CE,96,7,89,82,93,71,81,10
4309047SE,15,1,14,13,81,5,78,73
4309048CE,27,10,17,7,85,36,75,39
4309051CE,37,10,27,17,94,83,86,3
4309052CE,34,7,27,20,104,86,94,8
4309052NE,2,1,1,0,2,1,1,0
4309053CE,48,9,39,30,87,74,81,7
4309053NW,31,1,30,29,57,1,57,56
4309054CE,35,7,28,21,108,67,100,33
4309055CE,47,9,38,29,104,74,99,25
4309055CW,8,1,7,6,23,1,23,22
4309055NE,14,4,10,6,27,5,23,18
4309055NW,25,10,15,5,73,48,62,14
4309056CE,57,11,46,35,108,78,102,24
4309056NE,86,21,65,44,125,80,116,36
4309057CE,68,9,59,50,91,68,88,20
4309058CE,69,4,65,61,89,68,77,9
4309061CE,66,11,55,44,116,100,102,2
4309062CE,33,10,23,13,101,89,78,-11
4309063CE,28,5,23,18,92,75,82,7
4309064CE,27,6,21,15,103,61,95,34
4309064SE,6,1,5,4,39,1,38,37
4309064SW,3,1,2,1,19,1,18,17
4309065CE,22,11,11,0,85,69,80,11
4309065CW,75,12,63,51,102,67,94,27
4309065SW,101,42,59,17,109,94,98,4
4309066CE,74,17,57,40,76,70,65,-5
4309067CE,56,3,53,50,100,75,88,13
4309068CE,41,22,19,-3,91,79,74,-5
4309071CE,36,10,26,16,104,85,87,2
4309071CW,3,1,2,1,5,1,4,3
4309072CE,51,8,43,35,94,73,88,15
4309073CE,114,32,82,50,88,63,82,19
4309073NW,114,79,35,-44,94,86,65,-21
4309074CE,161,12,149,137,105,82,96,14
4309074CW,8,1,7,6,18,2,16,14
4309074NW,43,1,42,41,54,1,53,52
4309075CE,71,24,47,23,99,81,91,10
4309075NW,129,41,88,47,96,75,83,8
4309076CE,49,11,38,27,90,74,83,9
4309077CE,214,30,184,154,121,87,115,28
4309078CE,39,6,33,27,85,77,70,-7
4309081CE,44,5,39,34,101,72,90,18
4309082CE,28,5,23,18,103,49,101,52
4309082NW,2,1,1,0,2,1,1,0
4309082SE,16,1,15,14,68,1,68,67
4309083CE,89,29,60,31,111,86,101,15
4309083CW,54,36,18,-18,66,43,61,18
4309083NE,12,2,10,8,64,2,63,61
4309083NW,13,2,11,9,62,2,62,60
4309084CE,92,4,88,84,92,60,88,28
4309085CE,66,18,48,30,91,81,81,0
4309085NE,29,2,27,25,84,2,83,81
4309085SE,10,1,9,8,47,2,46,44
4309086CE,78,18,60,42,109,96,89,-7
4309086NE,169,15,154,139,117,97,102,5
4309086NW,52,1,51,50,72,1,71,70
4309087CE,114,11,103,92,124,79,108,29
4309088CE,69,5,64,59,89,72,80,8
4309111CE,79,42,37,-5,98,90,87,-3
4309111NW,38,1,37,36,65,1,65,64
4309111SE,13,1,12,11,45,2,44,42
4309111SW,59,5,54,49,112,5,109,104
4309112CE,170,64,106,42,118,85,102,17
4309112NE,14,5,9,4,52,11,48,37
4309112SE,18,2,16,14,65,1,65,64
4309121CE,89,4,85,81,86,57,81,24
4309121CW,87,1,86,85,81,5,81,76
4309121NE,46,2,44,42,63,3,63,60
4309121NW,10,2,8,6,19,5,17,12
4309122SE,48,3,45,42,87,11,86,75
4309131CE,88,50,38,-12,96,73,87,14
4309131NW,47,20,27,7,79,53,69,16
4309132NE,38,11,27,16,87,60,81,21
4309132NW,4,2,2,0,28,21,12,-9
4309141CE,17,4,13,9,84,60,81,21
4309141SE,10,1,9,8,52,1,51,50
4309142CE,41,11,30,19,91,69,84,15
4309142SE,28,2,26,24,93,2,93,91
4309151CE,54,6,48,42,85,73,69,-4
4309152CE,35,3,32,29,92,79,83,4
4309152CW,11,3,8,5,2,1,2,1
4309161CE,45,2,43,41,95,71,92,21
4309161SW,53,8,45,37,78,12,78,66
4309162CE,62,3,59,56,89,72,85,13
4309162NW,25,3,22,19,109,28,108,80
4309171CE,51,3,48,45,90,71,86,15
4309171NE,72,23,49,26,116,68,111,43
4309172CE,74,11,63,52,87,47,84,37
4309172CW,135,42,93,51,155,92,147,55
4309172NW,30,4,26,22,87,4,86,82
4309172SW,34,3,31,28,68,19,62,43
4309173CE,26,1,25,24,63,3,62,59
4309173NE,39,4,35,31,86,5,83,78
4309181CE,25,3,22,19,89,73,78,5
4309182CE,67,45,22,-23,79,68,69,1
4309182CW,20,4,16,12,49,4,47,43
4309182SE,58,40,18,-22,71,53,64,11
4309182SW,47,10,37,27,92,11,89,78
4309183CE,121,3,118,115,155,70,151,81
4309183CW,10,1,9,8,63,1,62,61
4309183NE,96,5,91,86,109,12,108,96
4309183NW,106,22,84,62,150,115,131,16
4309183SE,19,3,16,13,84,22,83,61
4408716CW,42,2,40,38,92,2,91,89
4408716NE,282,8,274,266,180,4,180,176
4408717CE,41,9,32,23,103,72,88,16
4408717CW,9,8,1,-7,18,13,5,-8
4408717NW,11,1,10,9,43,1,42,41
4408718CE,48,6,42,36,119,57,112,55
4408718NW,96,34,62,28,165,94,158,64
4408725CE,112,24,88,64,134,107,114,7
4408725NE,95,7,88,81,117,57,114,57
4408725NW,5,1,4,3,29,1,28,27
4408725SE,23,11,12,1,81,64,41,-23
4408725SW,198,22,176,154,142,35,140,105
4408726CE,127,14,113,99,108,59,102,43
4408726NE,56,3,53,50,81,4,79,75
4408726NW,2,1,1,0,64,1,64,63
4408726SE,80,33,47,14,94,51,80,29
4408727CE,138,104,34,-70,135,102,118,16
4408727CW,8,1,7,6,55,5,55,50
4408727SW,5,1,4,3,33,1,32,31
4408728CE,58,7,51,44,91,74,76,2
4408728CW,9,2,7,5,46,5,43,38
4408735CE,45,2,43,41,85,2,85,83
4408735SW,8,2,6,4,37,2,35,33
4408736CE,85,17,68,51,110,96,93,-3
4408736CW,33,1,32,31,68,2,67,65
4408736SW,12,1,11,10,62,1,62,61
4408737CE,98,22,76,54,95,78,84,6
4408737NE,24,20,4,-16,47,46,7,-39
4408738CE,89,11,78,67,100,82,91,9
4408738NE,31,1,30,29,48,1,48,47
4408745CE,182,7,175,168,155,49,150,101
4408745NE,263,5,258,253,174,12,174,162
4408745NW,41,1,40,39,123,3,122,119
4408746CE,53,15,38,23,105,85,88,3
4408746SE,12,1,11,10,61,7,60,53
4408747CE,40,10,30,20,98,74,85,11
4408747CW,70,3,67,64,121,3,119,116
4408747NW,5,1,4,3,28,1,27,26
4408747SW,9,2,7,5,44,2,42,40
4408748CE,78,22,56,34,110,76,101,25
4408748CW,15,2,13,11,53,2,52,50
4408748NW,15,2,13,11,50,2,48,46
4408748SE,46,3,43,40,52,3,51,48
4408754NE,8,1,7,6,40,1,39,38
4408754NW,90,14,76,62,125,76,111,35
4408755CE,62,13,49,36,120,78,107,29
4408755SW,35,12,23,11,101,81,81,0
4408756CE,56,18,38,20,108,82,99,17
4408756CW,9,4,5,1,9,4,5,1
4408756SE,25,4,21,17,73,6,73,67
4408757CE,83,7,76,69,80,63,67,4
4408757SW,33,18,15,-3,58,15,53,38
4408758CE,158,24,134,110,162,68,156,88
4408758NW,18,1,17,16,52,1,52,51
4408758SE,220,41,179,138,134,46,131,85
4408758SW,268,43,225,182,186,79,181,102
4408763NW,56,5,51,46,106,38,101,63
4408764CE,83,40,43,3,122,89,115,26
4408765CE,60,14,46,32,136,78,125,47
4408765CW,86,1,85,84,111,41,109,68
4408765NW,31,1,30,29,77,1,76,75
4408766CE,77,15,62,47,112,97,94,-3
4408766SE,54,2,52,50,77,6,76,70
4408766SW,5,3,2,-1,5,3,2,-1
4408772NW,14,6,8,2,45,9,40,31
4408773CE,83,9,74,65,130,97,116,19
4408773CW,100,6,94,88,151,6,151,145
4408773NE,46,42,4,-38,122,117,42,-75
4408773NW,24,6,18,12,63,9,61,52
4408773SW,19,11,8,-3,70,43,53,10
4408774CE,150,22,128,106,141,118,126,8
4408774NE,23,3,20,17,89,3,88,85
4408774SW,12,1,11,10,65,3,65,62
4408775CE,126,61,65,4,150,107,134,27
4408775NE,39,18,21,3,106,79,88,9
4408776SE,76,1,75,74,113,1,113,112
4408777NW,68,1,67,66,108,1,107,106
4408778CE,54,2,52,50,106,2,106,104
4408778NE,36,28,8,-20,68,45,41,-4
4408778NW,7,1,6,5,54,1,53,52
4408782CE,14,4,10,6,53,15,48,33
4408782CW,118,23,95,72,118,50,116,66
4408782NE,6,3,3,0,11,4,8,4
4408782NW,12,6,6,0,14,7,9,2
4408782SW,40,4,36,32,101,5,100,95
4408783CE,72,27,45,18,135,104,117,13
4408783CW,18,1,17,16,75,1,74,73
4408783NE,16,3,13,10,72,4,71,67
4408783NW,8,2,6,4,28,2,28,26
4408783SE,16,5,11,6,60,6,58,52
4408783SW,21,6,15,9,63,9,61,52
4408786NE,272,17,255,238,174,116,164,48
4408786NW,19,1,18,17,80,2,80,78
4408787NE,79,4,75,71,116,81,107,26
4408787SW,99,30,69,39,116,73,108,35
4408788CE,23,6,17,11,101,64,97,33
4408788SE,10,2,8,6,45,3,44,41
4408811CE,68,18,50,32,142,95,126,31
4408811CW,42,3,39,36,77,3,76,73
4408811NW,11,1,10,9,47,1,46,45
4408811SE,16,2,14,12,58,2,56,54
4408812CE,51,10,41,31,88,60,77,17
4408812SE,10,1,9,8,48,21,42,21
4408812SW,6,1,5,4,44,25,39,14
4408813CE,79,9,70,61,95,77,83,6
4408814NW,41,5,36,31,72,39,68,29
4408815CE,92,30,62,32,111,63,97,34
4408815CW,37,7,30,23,105,59,89,30
4408815NE,78,26,52,26,76,37,71,34
4408815NW,15,2,13,11,62,2,62,60
4408815SE,91,40,51,11,84,46,71,25
4408815SW,41,21,20,-1,116,64,92,28
4408816CE,63,29,34,5,124,68,112,44
4408816CW,49,8,41,33,70,23,63,40
4408816NE,26,4,22,18,45,4,42,38
4408816NW,65,4,61,57,64,3,64,61
4408816SE,26,4,22,18,46,5,43,38
4408817CE,73,17,56,39,99,73,87,14
4408817CW,9,6,3,-3,61,11,57,46
4408817NE,5,3,2,-1,28,5,23,18
4408817NW,10,3,7,4,44,5,42,37
4408817SE,18,4,14,10,79,11,76,65
4408818CE,88,9,79,70,112,74,107,33
4408821CE,60,8,52,44,100,84,85,1
4408821SW,52,6,46,40,127,7,127,120
4408822CE,66,7,59,52,105,65,100,35
4408823CE,215,6,209,203,151,67,147,80
4408823NW,51,4,47,43,62,15,61,46
4408823SE,102,9,93,84,158,82,155,73
4408824CE,20,2,18,16,48,1,48,47
4408824CW,55,3,52,49,106,5,104,99
4408824NE,156,8,148,140,121,10,120,110
4408824NW,69,26,43,17,74,28,69,41
4408824SW,28,17,11,-6,31,17,21,4
4408825CE,212,62,150,88,125,84,101,17
4408825CW,57,29,28,-1,119,80,104,24
4408825NE,48,40,8,-32,91,87,40,-47
4408825NW,112,38,74,36,128,96,105,9
4408825SE,40,31,9,-22,98,90,44,-46
4408825SW,38,34,4,-30,81,73,46,-27
4408826CE,61,17,44,27,90,70,75,5
4408826CW,79,1,78,77,86,2,86,84
4408826NE,56,20,36,16,104,86,85,-1
4408826NW,12,6,6,0,77,71,24,-47
4408826SE,39,9,30,21,62,44,44,0
4408827CE,91,12,79,67,110,93,91,-2
4408827CW,9,2,7,5,62,36,53,17
4408827NE,19,5,14,9,74,29,64,35
4408827NW,6,3,3,0,75,73,15,-58
4408827SE,16,4,12,8,15,5,12,7
4408828CE,54,11,43,32,98,75,86,11
4408828NE,18,1,17,16,73,2,71,69
4408831CE,134,20,114,94,118,92,100,8
4408832CE,88,8,80,72,94,72,78,6
4408833CE,61,12,49,37,85,65,75,10
4408833SE,55,2,53,51,109,2,108,106
4408833SW,42,6,36,30,47,5,46,41
4408834CE,130,20,110,90,110,77,99,22
4408834CW,19,7,12,5,75,17,69,52
4408834NW,38,1,37,36,104,3,104,101
4408834SE,267,9,258,249,109,16,108,92
4408834SW,36,2,34,32,59,2,59,57
4408835CE,63,18,45,27,116,86,100,14
4408835SE,9,4,5,1,24,5,22,17
4408836CE,49,11,38,27,134,84,122,38
4408836CW,8,1,7,6,59,1,58,57
4408836NE,13,2,11,9,57,11,47,36
4408836NW,21,3,18,15,65,5,61,56
4408837CE,64,7,57,50,100,60,96,36
4408837CW,45,6,39,33,107,75,89,14
4408837NE,43,2,41,39,93,3,91,88
4408837NW,57,13,44,31,108,86,93,7
4408837SW,27,4,23,19,77,11,71,60
4408838CE,41,1,40,39,94,80,81,1
4408838CW,6,3,3,0,17,2,16,14
4408838NE,15,2,13,11,93,2,91,89
4408838SE,7,1,6,5,41,1,41,40
4408838SW,8,1,7,6,61,12,51,39
4408841CE,122,46,76,30,95,74,86,12
4408841CW,45,1,44,43,111,1,110,109
4408841NE,103,18,85,67,94,19,91,72
4408841NW,28,2,26,24,40,4,37,33
4408841SE,16,9,7,-2,63,19,58,39
4408842CE,54,9,45,36,87,60,83,23
4408843CE,46,7,39,32,88,68,79,11
4408844CE,75,8,67,59,110,83,95,12
4408845CE,64,11,53,42,111,89,99,10
4408845CW,12,2,10,8,50,3,47,44
4408845NE,156,5,151,146,176,31,171,140
