atlas_block,checklists_total,checklists_Atlas1,checklists_Atlas2,checklists_diff,sr_total,sr_Atlas1,sr_Atlas2,sr_diff
4208886SE,16,6,10,4,76,51,59,8
4208886SW,90,4,86,82,123,46,123,77
4208887CE,64,16,48,32,105,82,91,9
4208887CW,90,14,76,62,126,34,120,86
4208887NE,20,1,19,18,59,1,59,58
4208887NW,36,6,30,24,98,19,96,77
4208887SE,39,5,34,29,121,49,120,71
4208887SW,21,6,15,9,53,9,48,39
4208888CE,121,19,102,83,107,72,97,25
4208888CW,76,66,10,-56,84,76,51,-25
4208888NE,69,3,66,63,138,12,138,126
4208888NW,78,48,30,-18,122,81,105,24
4208888SE,55,11,44,33,120,81,114,33
4208888SW,40,32,8,-24,80,73,30,-43
4208951CE,71,5,66,61,136,59,135,76
4208951NE,36,5,31,26,103,7,103,96
4208951NW,14,5,9,4,60,3,59,56
4208951SE,58,1,57,56,89,1,89,88
4208952CE,53,12,41,29,85,48,80,32
4208952SE,28,20,8,-12,79,70,51,-19
4208953CE,90,9,81,72,107,65,104,39
4208953CW,29,2,27,25,101,2,101,99
4208953NW,46,6,40,34,83,24,80,56
4208953SE,61,8,53,45,128,68,127,59
4208953SW,28,3,25,22,120,49,118,69
4208954CE,41,5,36,31,105,50,101,51
4208955CE,38,6,32,26,77,35,75,40
4208955NE,3,1,2,1,36,1,35,34
4208956CE,39,6,33,27,72,43,67,24
4208957CE,118,6,112,106,141,76,138,62
4208957NE,24,1,23,22,92,1,92,91
4208958CE,40,12,28,16,85,62,79,17
4208961CE,92,9,83,74,113,63,106,43
4208961CW,51,3,48,45,119,3,119,116
4208961NW,44,14,30,16,100,14,99,85
4208962CE,61,4,57,53,74,44,69,25
4208963CE,22,6,16,10,100,51,98,47
4208963SW,7,2,5,3,19,2,18,16
4208964CE,63,20,43,23,100,83,94,11
4208964CW,65,11,54,43,97,65,94,29
4208964NE,13,2,11,9,68,27,60,33
4208964NW,58,3,55,52,116,32,116,84
4208964SE,41,3,38,35,130,48,128,80
4208964SW,3,2,1,-1,20,19,1,-18
4208965CE,62,16,46,30,97,75,81,6
4208965NW,3,1,2,1,3,1,2,1
4208965SW,33,2,31,29,42,4,42,38
4208966CE,49,11,38,27,83,60,72,12
4208966NW,3,2,1,-1,19,2,17,15
4208967CE,52,10,42,32,91,84,79,-5
4208967CW,19,1,18,17,55,1,54,53
4208967NE,9,4,5,1,50,2,48,46
4208967NW,32,30,2,-28,58,58,9,-49
4208967SW,49,1,48,47,57,2,56,54
4208968CE,49,6,43,37,96,61,93,32
4208971CE,84,37,47,10,106,62,92,30
4208971NW,17,1,16,15,79,1,78,77
4208971SE,6,1,5,4,8,1,7,6
4208971SW,9,3,6,3,50,36,40,4
4208972CE,60,8,52,44,101,63,94,31
4208972NE,20,1,19,18,73,2,73,71
4208973CE,63,5,58,53,101,44,96,52
4208973SE,23,5,18,13,90,5,90,85
4208973SW,15,8,7,-1,42,12,37,25
4208974CE,44,4,40,36,97,51,92,41
4208974NW,157,57,100,43,121,105,111,6
4208975CE,62,14,48,34,94,74,84,10
4208975NE,28,2,26,24,55,3,54,51
4208976CE,138,19,119,100,96,81,88,7
4208976CW,3,1,2,1,24,1,23,22
4208976NW,18,8,10,2,49,8,44,36
4208976SE,17,3,14,11,74,17,74,57
4208977CE,123,26,97,71,96,84,88,4
4208977CW,9,6,3,-3,31,7,29,22
4208977NE,48,5,43,38,100,6,98,92
4208978CE,64,17,47,30,93,80,85,5
4208978NE,29,28,1,-27,66,66,15,-51
4208978SW,50,16,34,18,149,87,134,47
4208981CE,98,16,82,66,117,74,110,36
4208981NE,28,3,25,22,105,7,104,97
4208981SE,26,1,25,24,84,1,84,83
4208982CE,120,9,111,102,103,51,98,47
4208982CW,76,6,70,64,116,6,115,109
4208982SW,21,1,20,19,66,1,66,65
4208983CE,81,41,40,-1,110,83,95,12
4208983CW,59,3,56,53,108,4,107,103
4208983NE,77,2,75,73,113,2,112,110
4208983NW,69,2,67,65,116,2,115,113
4208983SE,17,1,16,15,55,1,55,54
4208984CE,103,11,92,81,140,51,138,87
4208984NW,40,1,39,38,90,2,90,88
4208985CE,43,5,38,33,107,75,99,24
4208985CW,29,10,19,9,88,23,84,61
4208985NE,49,1,48,47,81,1,80,79
4208985NW,16,1,15,14,69,1,68,67
4208986CE,60,19,41,22,99,69,91,22
4208986CW,15,8,7,-1,62,45,47,2
4208986SW,44,6,38,32,76,42,75,33
4208987CE,54,15,39,24,84,70,75,5
4208987CW,143,15,128,113,102,64,100,36
4208987NE,52,10,42,32,82,57,76,19
4208987NW,177,32,145,113,88,71,83,12
4208987SE,13,7,6,-1,71,56,47,-9
4208988CE,190,15,175,160,101,76,97,21
4208988CW,21,11,10,-1,65,61,40,-21
4208988NE,45,14,31,17,82,65,77,12
4208988NW,19,14,5,-9,65,62,28,-34
4209051CE,28,9,19,10,83,73,72,-1
4209052CE,30,5,25,20,54,30,51,21
4209053CE,25,5,20,15,76,59,68,9
4209054CE,29,7,22,15,68,58,65,7
4209055CE,21,6,15,9,64,54,56,2
4209055SW,6,1,5,4,39,2,37,35
4209056CE,37,2,35,33,105,33,105,72
4209056NE,6,4,2,-2,39,38,1,-37
4209061CE,106,32,74,42,85,59,79,20
4209061CW,16,8,8,0,60,27,55,28
4209061SE,20,10,10,0,77,51,60,9
4209061SW,3,1,2,1,8,6,3,-3
4209062CE,33,16,17,1,81,57,74,17
4209062NE,21,16,5,-11,68,50,44,-6
4209063CE,29,7,22,15,58,38,54,16
4209063CW,10,5,5,0,34,5,31,26
4209063NW,5,4,1,-3,17,4,14,10
4209064CE,22,8,14,6,65,55,56,1
4209064NW,16,7,9,2,38,7,36,29
4209065CE,30,14,16,2,76,33,73,40
4209066CE,23,8,15,7,82,62,77,15
4209066CW,18,3,15,12,60,4,59,55
4209066NE,6,1,5,4,41,1,40,39
4209066SE,7,1,6,5,43,1,42,41
4209067CE,29,10,19,9,98,75,88,13
4209067CW,6,1,5,4,55,1,55,54
4209067SE,2,1,1,0,1,1,1,0
4209068CE,52,8,44,36,101,83,92,9
4209071CE,34,7,27,20,87,59,82,23
4209071NW,8,1,7,6,33,2,31,29
4209072CE,46,7,39,32,87,71,79,8
4209072SW,17,10,7,-3,72,67,43,-24
4209073CE,40,13,27,14,83,61,75,14
4209073SW,8,1,7,6,49,1,49,48
4209074CE,34,6,28,22,74,56,66,10
4209075CE,31,8,23,15,76,56,70,14
4209076CE,63,9,54,45,83,61,80,19
4209076NW,11,1,10,9,36,1,35,34
4209077CE,45,6,39,33,76,66,69,3
4209078CE,69,10,59,49,80,62,73,11
4209078NE,2,1,1,0,6,1,5,4
4209078NW,8,1,7,6,33,1,32,31
4209081CE,44,5,39,34,101,52,98,46
4209081NE,34,3,31,28,57,6,55,49
4209082CE,160,7,153,146,81,61,75,14
4209082SE,28,8,20,12,72,51,59,8
4209082SW,35,6,29,23,83,6,83,77
4209083CE,110,8,102,94,75,57,70,13
4209084CE,61,6,55,49,64,43,59,16
4209084NW,31,30,1,-29,41,39,3,-36
4209085CE,63,9,54,45,82,63,75,12
4209085SW,33,5,28,23,60,5,59,54
4209086CE,19,10,9,-1,75,55,63,8
4209087CE,29,8,21,13,83,64,71,7
4209088CE,13,5,8,3,68,55,61,6
4209088NE,7,1,6,5,58,3,57,54
4209161NE,51,1,50,49,117,1,117,116
4209171CE,213,17,196,179,111,41,107,66
4209171CW,146,8,138,130,107,22,105,83
4209171NW,27,1,26,25,62,1,62,61
4209171SE,176,6,170,164,111,9,111,102
4209171SW,73,8,65,57,67,14,65,51
4209181CE,26,11,15,4,81,67,73,6
4209181CW,10,1,9,8,53,2,53,51
4209181NE,19,1,18,17,62,1,62,61
4209181NW,148,20,128,108,153,92,147,55
4209182CE,40,16,24,8,94,78,84,6
4209182NE,116,15,101,86,134,80,131,51
4308718CE,450,56,394,338,172,65,171,106
4308718CW,147,5,142,137,130,4,130,126
4308718NE,255,66,189,123,134,52,131,79
4308718NW,27,6,21,15,85,7,81,74
4308718SE,127,17,110,93,89,22,85,63
4308718SW,150,18,132,114,115,10,115,105
4308728CE,507,80,427,347,161,82,157,75
4308728CW,332,8,324,316,127,10,127,117
4308728NE,64,31,33,2,99,40,94,54
4308728NW,127,45,82,37,109,48,106,58
4308728SE,176,20,156,136,122,24,121,97
4308728SW,92,18,74,56,121,34,121,87
4308738CE,226,20,206,186,113,76,105,29
4308738CW,62,5,57,52,79,5,78,73
