atlas_block,checklists_Atlas2,checklists_Atlas1,checklists_total,mins_Atlas2,mins_Atlas1,mins_total,mins_diff,mins_diff_z,sr_total,sr_Atlas1,sr_Atlas2,sr_diff,sr_diff_z
4208861CE,154,14,168,3418,3420,6838,-2,-0.1697458019792862,109,54,103,49,0.46377267085273355
4208861NW,3,1,4,15,0,15,15,-0.16337095994328843,7,1,6,5,-0.8372339461481216
4208861SE,7,1,8,65,0,65,65,-0.14462142454329488,34,1,33,32,-0.03888897662486959
4208861SW,6,3,9,144,0,144,144,-0.11499715861130509,50,4,47,43,0.28636267762534423
4208862CE,146,16,162,3701,3600,7301,101,-0.13112175905529952,108,64,102,38,0.13852101660251975
4208862NW,72,13,85,2755,90,2845,2665,0.8303544162563693,122,20,118,98,1.9126209488764132
4208862SE,86,34,120,10322,12420,22742,-2098,-0.9557263259470153,150,97,144,47,0.40463600644360376
4208862SW,2,1,3,240,0,240,240,-0.0789980506433175,3,1,2,1,-0.9555072749663812
4208863CE,77,18,95,2920,2508,5428,412,-0.014499648867339713,125,76,116,40,0.19765768101164954
4208863NE,39,2,41,1248,0,1248,1248,0.29899258302055226,113,2,112,110,2.2674409353311917
4208863SW,51,3,54,214,150,364,64,-0.14499641525129475,71,54,67,13,-0.6006872885116025
4208864CE,10,5,15,1269,1380,2649,-111,-0.21061978915127216,77,47,72,25,-0.24586730205682383
4208864SE,38,14,52,458,90,548,368,-0.030999240019334028,76,60,65,5,-0.8372339461481216
4208865CE,33,3,36,1308,330,1638,978,0.19774509186058714,70,31,67,36,0.07938435219338998
4208866CE,77,2,79,2854,300,3154,2554,0.7887304476683836,93,47,93,46,0.37506767423903886
4208866NE,46,1,47,248,0,248,248,-0.07599812497931853,54,1,53,52,0.5524776674664282
4208866NW,13,2,15,475,0,475,475,0.009124765736652147,78,4,75,71,1.1142759793531611
4208866SE,37,1,38,437,0,437,437,-0.005124881167342943,63,1,63,62,0.8481609895120771
4208867CE,17,5,22,1106,1530,2636,-424,-0.3279918807552317,54,37,46,9,-0.718960617329862
4208868CE,39,9,48,1220,1410,2630,-190,-0.24024405508326196,79,45,77,32,-0.03888897662486959
4208871CE,68,4,72,2564,15360,17924,-12796,-4.967376920129634,78,37,73,36,0.07938435219338998
4208871NW,6,4,10,50,0,50,50,-0.15024628516329294,49,6,45,39,0.16808934880708465
4208871SW,5,1,6,50,0,50,50,-0.15024628516329294,36,1,35,34,0.020247687784260192
4208872CE,84,8,92,2333,1470,3803,863,0.154621160440602,90,60,80,20,-0.39370896307964826
4208872CW,23,5,28,579,0,579,579,0.04812379936863871,80,4,80,76,1.2621176403759855
4208872NE,11,6,17,345,0,345,345,-0.039624026303331054,54,6,51,45,0.34549934203447397
4208872NW,9,2,11,150,0,150,150,-0.11274721436330586,56,2,54,52,0.5524776674664282
4208872SW,31,2,33,2601,0,2601,2601,0.8063550109443776,50,2,48,46,0.37506767423903886
4208873CE,55,3,58,2429,1092,3521,1337,0.33236675603254073,92,46,85,39,0.16808934880708465
4208873NW,16,5,21,442,0,442,442,-0.003249927627343589,55,6,51,45,0.34549934203447397
4208874CE,112,11,123,5014,2400,7414,2614,0.8112298901483759,95,69,90,21,-0.36414063087508336
4208874CW,76,20,96,3480,1140,4620,2340,0.7084824361564112,117,78,103,25,-0.24586730205682383
4208874NE,71,2,73,1705,0,1705,1705,0.4703633365764932,113,2,113,111,2.2970092675357567
4208874NW,113,48,161,3722,2160,5882,1562,0.41673966533251167,126,92,120,28,-0.15716230544312915
4208874SE,5,1,6,43,0,43,43,-0.15287122011929205,21,1,21,20,-0.39370896307964826
4208875CE,143,27,170,6105,1920,8025,4185,1.400340292416173,129,44,127,83,1.4690959658079399
4208875CW,9,5,14,389,0,389,389,-0.02312443515133674,51,9,49,40,0.19765768101164954
4208875NE,54,9,63,2536,0,2536,2536,0.781980614924386,114,11,113,102,2.0308942776946726
4208875NW,182,10,192,7866,0,7866,7866,2.7806810885636972,125,30,122,92,1.7352109556490238
4208876CE,68,12,80,4921,1980,6901,2941,0.9338518516643336,113,76,109,33,-0.009320644420304698
4208876CW,38,1,39,361,0,361,361,-0.033624174975333126,70,1,70,69,1.0551393149440313
4208876NW,47,2,49,190,0,190,190,-0.09774758604331103,62,1,62,61,0.8185926573075123
4208876SE,43,1,44,2922,0,2922,2922,0.9267270282123361,70,4,68,64,0.9072976539212069
4208877CE,89,5,94,1879,1050,2929,829,0.14187147636860642,102,56,98,42,0.25679434542077934
4208878CE,53,7,60,1629,2550,4179,-921,-0.5143622626311675,114,59,111,52,0.5524776674664282
4208878CW,13,2,15,537,0,537,537,0.032374189632644136,60,3,58,55,0.6411826640801229
4208878NE,19,1,20,323,0,323,323,-0.04787382187932821,76,2,76,74,1.2029809759668557
4208878NW,74,1,75,6281,0,6281,6281,2.186320816383902,123,6,123,117,2.4744192607631463
4208878SE,21,2,23,1528,0,1528,1528,0.40398998126051605,106,3,106,103,2.0604626098992376
4208881CE,372,45,417,27907,3210,31117,24697,9.092149694909523,157,50,156,106,2.149167606512932
4208881CW,20,3,23,650,0,650,650,0.07474813963662953,36,3,36,33,-0.009320644420304698
4208881NE,45,10,55,3553,0,3553,3553,1.1633461649602546,88,7,88,81,1.40995930139881
4208881NW,67,16,83,534,0,534,534,0.031249217508644525,59,15,55,40,0.19765768101164954
4208881SE,52,19,71,1775,1320,3095,455,0.0016249515766547313,76,50,56,6,-0.8076656139435567
4208881SW,14,8,22,1410,0,1410,1410,0.3597410777165313,81,11,79,68,1.0255709827394666
4208882CE,30,31,61,993,2100,3093,-1107,-0.5841105343191435,85,66,76,10,-0.6893922851252972
4208882CW,8,9,17,70,0,70,70,-0.14274647100329552,49,9,45,36,0.07938435219338998
4208882NE,12,35,47,296,8670,8966,-8374,-3.3091680093542046,73,39,68,29,-0.12759397323856425
4208882SE,29,5,34,1942,60,2002,1882,0.5367366918924703,111,18,110,92,1.7352109556490238
4208882SW,6,7,13,315,0,315,315,-0.05087374754332718,80,6,79,73,1.173412643762291
4208883CE,116,13,129,10764,1515,12279,9249,3.2992932377275186,142,76,139,63,0.877729321716642
4208883CW,46,8,54,456,0,456,456,0.001999942284654602,61,9,60,51,0.5229093352618633
4208883NE,25,13,38,1411,0,1411,1411,0.3601160684245312,73,14,72,58,0.7298876606938176
4208883NW,3,8,11,70,0,70,70,-0.14274647100329552,38,14,31,17,-0.48241395969334294
4208883SE,57,5,62,20528,0,20528,20528,7.528813433258062,134,5,132,127,2.770102582808795
4208883SW,46,21,67,762,2280,3042,-1518,-0.7382317153070904,102,81,78,-3,-1.0737806037846407
4208884CE,61,33,94,2103,2610,4713,-507,-0.359116109519221,107,73,99,26,-0.21629896985225894
4208884CW,225,50,275,12340,3630,15970,8710,3.097173246115588,148,81,144,63,0.877729321716642
4208884NE,23,48,71,124,3810,3934,-3686,-1.5512115702508102,88,78,60,-18,-1.5173055868531142
4208884NW,157,77,234,5765,0,5765,5765,1.9928256110559686,107,74,95,21,-0.36414063087508336
4208884SW,68,6,74,3358,0,3358,3358,1.0902229769002798,117,6,117,111,2.2970092675357567
4208885CE,69,29,98,1738,2160,3898,-422,-0.327241899339232,108,79,92,13,-0.6006872885116025
4208885CW,14,1,15,345,0,345,345,-0.039624026303331054,47,1,46,45,0.34549934203447397
4208885NE,15,3,18,279,0,279,279,-0.06437341303132253,78,3,78,75,1.2325493081714207
4208885NW,12,19,31,315,2625,2940,-2310,-1.035224356042988,94,91,50,-41,-2.1973772275581065
4208885SE,90,37,127,4062,2340,6402,1722,0.476738178612491,131,84,129,45,0.34549934203447397
4208885SW,7,18,25,15,960,975,-945,-0.5233620396231644,66,58,33,-25,-1.7242839122850684
4208886CE,90,13,103,2640,1920,4560,720,0.1009974891966205,114,70,109,39,0.16808934880708465
4208886CW,16,1,17,110,0,110,110,-0.1277468426833007,50,1,50,49,0.46377267085273355
4208886SE,10,6,16,482,270,752,212,-0.08949779046731388,76,51,59,8,-0.748528949534427
4208886SW,86,4,90,2979,240,3219,2739,0.8581037286483597,123,46,123,77,1.2916859725805505
4208887CE,48,16,64,3167,3126,6293,41,-0.15362120153529177,105,82,91,9,-0.718960617329862
4208887CW,76,14,90,2161,234,2395,1927,0.55361127375246455,126,34,120,86,1.5578009624216345
4208887NE,19,1,20,161,0,161,161,-0.10862231657530728,59,1,59,58,0.7298876606938176
4208887NW,30,6,36,1267,162,1429,1105,0.24536891177657072,98,19,96,77,1.2916859725805505
