atlas_block,checklists_Atlas2,checklists_Atlas1,checklists_total,mins_Atlas2,mins_Atlas1,mins_total,mins_diff,mins_diff_z,sr_total,sr_Atlas1,sr_Atlas2,sr_diff,sr_diff_z
4308847NE,62,1,63,650,0,650,650,0.07474813963662953,84,1,83,82,1.4395276336033749
4308847NW,19,1,20,52,0,52,52,-0.1494963037472932,17,1,17,16,-0.5119822918979079
4308848CE,147,7,154,3229,1320,4549,1909,0.5468614410084669,113,58,106,48,0.43420433864816865
4308848CW,11,1,12,202,0,202,202,-0.09324769754731257,51,4,50,46,0.37506767423903886
4308848SE,50,1,51,191,0,191,191,-0.09737259533531116,55,1,55,54,0.611614331875558
4308851CE,19,9,28,1670,210,1880,1460,0.3784906131165249,89,61,88,27,-0.18673063764769404
4308851NW,14,2,16,80,0,80,80,-0.13899656392329682,55,7,52,45,0.34549934203447397
4308851SE,23,7,30,419,0,419,419,-0.011874713911340618,88,22,85,63,0.877729321716642
4308851SW,25,16,41,926,0,926,926,0.17824557504459387,87,69,72,3,-0.8963706105572514
4308852CE,32,23,55,2167,2850,5017,-683,-0.42511447412719827,131,114,110,-4,-1.1033489359892057
4308852CW,15,1,16,152,0,152,152,-0.11199723294730612,50,2,49,47,0.40463600644360376
4308852NE,146,22,168,9737,2550,12287,7187,2.526062397831785,157,110,149,39,0.16808934880708465
4308852NW,53,8,61,1149,840,1989,309,-0.05312369179132641,118,90,100,10,-0.6893922851252972
4308852SE,9,12,21,25,963,988,-938,-0.5207371046671653,48,22,42,20,-0.39370896307964826
4308852SW,53,11,64,2849,450,3299,2399,0.7306068879284036,113,41,112,71,1.1142759793531611
4308853CE,29,23,52,951,1380,2331,-429,-0.32986683429523106,88,64,77,13,-0.6006872885116025
4308853CW,32,3,35,80,0,80,80,-0.13899656392329682,60,7,59,52,0.5524776674664282
4308853NE,12,8,20,548,0,548,548,0.036499087420642715,92,8,91,83,1.4690959658079399
4308853NW,41,4,45,179,0,179,179,-0.1018724838313096,66,4,65,61,0.8185926573075123
4308853SE,2,13,15,0,0,0,0,-0.1689958205632865,42,42,2,-40,-2.167808895353542
4308853SW,54,8,62,190,0,190,190,-0.09774758604331103,67,9,64,55,0.6411826640801229
4308854CE,20,8,28,1425,1860,3285,-435,-0.3321167785432303,98,85,84,-1,-1.014643939375511
4308854CW,38,2,40,103,0,103,103,-0.1303717776392998,43,6,41,35,0.04981601998882508
4308854NW,51,1,52,485,0,485,485,0.012874672816650855,54,1,53,52,0.5524776674664282
4308854SE,22,22,44,354,420,774,-66,-0.19374520729127798,88,65,58,-7,-1.1920539326029003
4308854SW,47,2,49,322,0,322,322,-0.048248812587328084,57,4,56,52,0.5524776674664282
4308855CE,39,7,46,1882,1320,3202,562,0.041748957332640904,93,41,89,48,0.43420433864816865
4308855CW,64,17,81,2977,1560,4537,1417,0.36236601267253044,123,73,118,45,0.34549934203447397
4308855NE,19,1,20,2,0,2,2,-0.16824583914728675,33,1,33,32,-0.03888897662486959
4308855NW,76,5,81,2219,0,2219,2219,0.6631085604884268,123,5,123,118,2.503987592967711
4308855SE,58,2,60,1833,0,1833,1833,0.5183621472004767,112,2,111,109,2.237872603126627
4308855SW,160,8,168,6895,600,7495,6295,2.1915706862959,152,57,152,95,1.8239159522627186
4308856CE,44,7,51,6229,960,7189,5269,1.8068302198880326,108,30,108,78,1.3212543047851153
4308856CW,41,1,42,484,0,484,484,0.012499682108650984,76,1,75,74,1.2029809759668557
4308856NE,456,31,487,31882,1830,33712,30052,11.100224936248832,191,66,190,124,2.6813975861951005
4308856SE,49,11,60,4271,1530,5801,2741,0.8588537100643594,144,52,144,92,1.7352109556490238
4308857CE,190,9,199,1801,1830,3631,-29,-0.17987055109528274,127,67,123,56,0.6707509962846878
4308857NW,5,1,6,50,0,50,50,-0.15024628516329294,29,2,28,26,-0.21629896985225894
4308857SE,51,2,53,278,0,278,278,-0.0647484037393224,63,3,63,60,0.7890243251029474
4308857SW,13,4,17,129,0,129,129,-0.12062201923130315,63,2,63,61,0.8185926573075123
4308858CE,138,6,144,1483,1350,2833,133,-0.11912205639930366,107,57,106,49,0.46377267085273355
4308858SE,25,1,26,17,0,17,17,-0.16262097852728868,29,1,28,27,-0.18673063764769404
4308861CE,69,21,90,2032,5265,7297,-3233,-1.3813407795268686,112,84,107,23,-0.3050039664659536
4308861CW,42,1,43,938,0,938,938,0.18274546354059232,113,1,113,112,2.3265775997403217
4308861NW,81,4,85,4544,270,4814,4274,1.4337144654281613,105,7,105,98,1.9126209488764132
4308861SW,5,1,6,55,0,55,55,-0.14837133162329358,44,2,43,41,0.22722601321621444
4308862CE,67,19,86,8299,1920,10219,6379,2.2230699057678893,140,108,127,19,-0.42327729528421315
4308862CW,23,8,31,691,900,1591,-209,-0.2473688785352595,102,89,75,-14,-1.3990322580348546
4308862NW,15,3,18,638,120,758,518,0.02524936618064659,100,39,89,50,0.49334100305729844
4308862SE,107,11,118,6590,1140,7730,5450,1.8747035380360093,136,91,127,36,0.07938435219338998
4308862SW,19,8,27,234,570,804,-336,-0.2949926984512431,92,79,57,-22,-1.6355789156713736
4308863CE,36,8,44,1057,150,1207,907,0.17112075159259632,86,64,76,12,-0.6302556207161674
4308863CW,16,1,17,278,0,278,278,-0.0647484037393224,65,1,65,64,0.9072976539212069
4308863NE,10,5,15,61,240,301,-179,-0.23611915729526337,56,46,33,-13,-1.3694639258302896
4308863NW,2,1,3,5,0,5,5,-0.16712086702328713,17,3,14,11,-0.6598239529207323
4308864CE,41,8,49,1241,825,2066,416,-0.01299968603534023,73,48,69,21,-0.36414063087508336
4308864CW,19,1,20,261,0,261,261,-0.0711232457753202,60,1,60,59,0.7594559928983825
4308864NE,8,24,32,93,120,213,-27,-0.179120569679283,60,30,50,20,-0.39370896307964826
4308864NW,14,1,15,174,0,174,174,-0.10374743737130897,41,1,40,39,0.16808934880708465
4308865CE,50,2,52,1218,240,1458,978,0.19774509186058714,96,50,91,41,0.22722601321621444
4308865SE,13,2,15,110,0,110,110,-0.1277468426833007,43,2,41,39,0.16808934880708465
4308865SW,32,1,33,1035,0,1035,1035,0.21911956221657977,105,1,105,104,2.0900309421038026
4308866CE,56,3,59,1409,360,1769,1049,0.22436943212857796,93,50,89,39,0.16808934880708465
4308866SE,664,11,675,27239,120,27359,27119,10.00037718968521,187,13,186,173,4.13024586421878
4308867CE,53,2,55,1207,240,1447,967,0.19362019407258857,80,52,76,24,-0.27543563426138873
4308867NW,4,1,5,35,0,35,35,-0.155871145783291,12,1,11,10,-0.6893922851252972
4308868CE,43,6,49,1126,1005,2131,121,-0.12362194489530212,80,59,73,14,-0.5711189563070376
4308868NW,6,1,7,75,0,75,75,-0.14087151746329618,34,1,33,32,-0.03888897662486959
4308868SW,13,1,14,652,0,652,652,0.07549812105262928,70,1,69,68,1.0255709827394666
4308871CE,78,10,88,2173,2040,4213,133,-0.11912205639930366,118,99,87,-12,-1.3398955936257249
4308871NE,22,1,23,832,0,832,832,0.142996448492606,73,2,71,69,1.0551393149440313
4308871SW,31,7,38,820,180,1000,640,0.07099823255663083,88,33,85,52,0.5524776674664282
4308872CE,59,18,77,1944,2550,4494,-606,-0.3962401896112082,108,81,98,17,-0.48241395969334294
4308872NE,4,7,11,115,0,115,115,-0.12587188914330133,24,8,17,9,-0.718960617329862
4308872NW,15,1,16,61,0,61,61,-0.14612138737529437,43,1,43,42,0.25679434542077934
4308872SW,27,4,31,541,90,631,451,1.2498874465524808e-4,86,41,80,39,0.16808934880708465
4308873CE,83,1,84,1298,270,1568,1028,0.21649462726058066,83,47,82,35,0.04981601998882508
4308873CW,23,1,24,73,0,73,73,-0.14162149887929593,45,1,45,44,0.31593100982990907
4308874CE,57,13,70,1286,270,1556,1016,0.21199473876458222,103,46,102,56,0.6707509962846878
4308874CW,14,1,15,575,0,575,575,0.04662383653663923,77,1,77,76,1.2621176403759855
4308874NW,47,1,48,966,0,966,966,0.1932452033645887,80,2,79,77,1.2916859725805505
4308874SE,20,30,50,323,1470,1793,-1147,-0.5991101626391383,70,48,52,4,-0.8668022783526865
4308875CE,50,18,68,1399,1290,2689,109,-0.12812183339130057,100,67,92,25,-0.24586730205682383
4308875CW,11,2,13,504,0,504,504,0.0199994962686484,92,3,90,87,1.5873692946261995
4308876CE,42,4,46,2346,1860,4206,486,0.013249663524650726,85,47,79,32,-0.03888897662486959
4308876NE,3,1,4,65,0,65,65,-0.14462142454329488,10,1,9,8,-0.748528949534427
4308876NW,13,83,96,155,56280,56435,-56125,-21.215349307056034,105,85,52,-33,-1.9608305699215876
4308877CE,30,2,32,677,360,1037,317,-0.05012376612732744,84,54,79,25,-0.24586730205682383
4308877NW,15,27,42,208,3540,3748,-3332,-1.4184648596188558,79,71,42,-29,-1.842557241103328
4308877SE,4,1,5,70,45,115,25,-0.1596210528632897,41,1,40,39,0.16808934880708465
4308878CE,64,6,70,2382,900,3282,1482,0.386740408692522,111,74,101,27,-0.18673063764769404
4308878NW,68,1,69,2417,0,2417,2417,0.7373567206724012,100,1,100,99,1.942189281080978
4308881CE,42,7,49,3222,1320,4542,1902,0.5442365060524678,116,80,100,20,-0.39370896307964826
4308881CW,8,1,9,145,0,145,145,-0.11462216790330522,38,1,37,36,0.07938435219338998
4308881SE,32,1,33,579,300,879,279,-0.06437341303132253,90,60,78,18,-0.45284562748877805
4308882CE,43,11,54,3965,795,4760,3170,1.019724723796304,113,64,104,40,0.19765768101164954
4308882CW,33,30,63,777,3546,4323,-2769,-1.2073450910149286,117,102,81,-21,-1.6060105834668088
4308882NW,11,52,63,255,3420,3675,-3165,-1.3558414113828774,107,100,58,-42,-2.2269455597626715
4308882SW,62,20,82,3964,3015,6979,949,0.18687036132859092,103,79,92,13,-0.6006872885116025
4308883CE,55,27,82,1253,3870,5123,-2617,-1.1503465033989484,96,71,85,14,-0.5711189563070376
4308883NE,42,1,43,431,0,431,431,-0.0073748254153421676,65,1,65,64,0.9072976539212069
4308884CW,22,22,44,593,1005,1598,-412,-0.32349199225923325,68,37,63,26,-0.21629896985225894
4308884SW,97,11,108,2714,300,3014,2414,0.7362317485484016,89,35,85,50,0.49334100305729844
4308885CE,15,12,27,1159,1455,2614,-296,-0.27999307013124825,84,62,73,11,-0.6598239529207323
4308885CW,7,2,9,71,150,221,-79,-0.1986200864952763,54,8,52,44,0.31593100982990907
4308885NE,38,2,40,772,0,772,772,0.12049700601261377,81,4,81,77,1.2916859725805505
4308885NW,48,8,56,1048,240,1288,808,0.13399667150060912,70,33,57,24,-0.27543563426138873
4308885SE,14,2,16,109,0,109,109,-0.12812183339130057,63,3,61,58,0.7298876606938176
4308885SW,5,1,6,53,0,53,53,-0.14912131303929332,37,1,36,35,0.04981601998882508
4308886CE,21,7,28,1446,300,1746,1146,0.2607435308045654,91,46,88,42,0.25679434542077934
4308886CW,15,11,26,280,1260,1540,-980,-0.5364867144031599,91,73,74,1,-0.9555072749663812
4308886NW,1,3,4,0,0,0,0,-0.1689958205632865,7,3,4,1,-0.9555072749663812
4308887CE,37,28,65,3387,3840,7227,-453,-0.33886661128722795,119,105,95,-10,-1.280758929216595
4308887CW,56,2,58,2258,0,2258,2258,0.6777331981004218,118,2,118,116,2.4448509285585813
4308887NE,30,14,44,1766,540,2306,1226,0.2907427874445551,130,66,125,59,0.7594559928983825
4308887NW,2,6,8,7,690,697,-683,-0.42511447412719827,66,65,14,-51,-2.4930605496037557
4308887SE,24,7,31,1112,420,1532,692,0.09049774937262411,104,68,98,30,-0.09802564103399937
4308888CE,44,14,58,3107,2070,5177,1037,0.21986954363257952,106,70,95,25,-0.24586730205682383
4308888SE,13,16,29,100,720,820,-620,-0.4014900595232064,63,53,40,-13,-1.3694639258302896
4308888SW,3,2,5,38,0,38,38,-0.15474617365929139,13,2,11,9,-0.718960617329862
4308911CE,63,5,68,3722,1020,4742,2702,0.8442290724523644,104,58,99,41,0.22722601321621444
4308912CE,41,10,51,3405,990,4395,2415,0.7366067392564015,87,58,80,22,-0.3345722986705185
4308913CE,152,44,196,4497,3510,8007,987,0.20112000823258597,110,73,102,29,-0.12759397323856425
4308913CW,249,2,251,9956,0,9956,9956,3.564411668283427,143,2,142,140,3.154490901468139
4308913NE,384,2,386,19166,0,19166,19166,7.018076088962238,126,7,125,118,2.503987592967711
4308913NW,284,10,294,9799,0,9799,9799,3.5055381271274473,131,8,129,121,2.5926925895814055
4308913SE,135,1,136,6891,0,6891,6891,2.4150651482638232,127,1,127,126,2.74053425060423
4308913SW,277,53,330,22509,6060,28569,16449,5.999226335326588,196,93,194,101,2.001325945490108
4308914CE,526,69,595,27623,7305,34928,20318,7.450065384578089,158,77,152,75,1.2325493081714207
4308914CW,378,45,423,21850,15,21865,21835,8.018926288613892,150,53,148,95,1.8239159522627186
4308914NE,256,32,288,22637,0,22637,22637,8.31966883642979,152,71,149,78,1.3212543047851153
4308914NW,167,1,168,12999,0,12999,12999,4.705508392727034,154,1,154,153,3.538879220127482
4308914SE,97,4,101,2132,0,2132,2132,0.6304843688924381,114,4,112,108,2.208304270922062
4308914SW,283,8,291,11195,0,11195,11195,4.029025155495267,141,9,141,132,2.9179442438316197
4308915CE,175,26,201,6865,2994,9859,3871,1.2825932101042135,86,60,76,16,-0.5119822918979079
4308915CW,55,3,58,2411,0,2411,2411,0.735106776424402,103,7,103,96,1.8534842844672834
4308915NE,330,14,344,16379,90,16469,16289,5.939227822046609,162,18,161,143,3.2431958980818334
4308915SW,53,3,56,242,0,242,242,-0.07824806922731775,54,5,51,46,0.37506767423903886
4308916CE,70,37,107,5027,6240,11267,-1213,-0.6238595493671297,104,76,102,26,-0.21629896985225894
4308916CW,1,3,4,0,0,0,0,-0.1689958205632865,5,3,2,-1,-1.014643939375511
4308916NE,17,1,18,298,0,298,298,-0.057248589579324986,52,1,52,51,0.5229093352618633
4308916SW,14,2,16,459,0,459,459,0.0031249144086542145,61,2,61,59,0.7594559928983825
4308917CE,26,49,75,1244,3120,4364,-1876,-0.872478388771044,94,68,84,16,-0.5119822918979079
4308917CW,2,74,76,30,2580,2610,-2550,-1.125222125962957,94,84,66,-18,-1.5173055868531142
4308917NE,27,2,29,2225,0,2225,2225,0.665358504736426,84,2,84,82,1.4395276336033749
4308917NW,15,16,31,120,0,120,120,-0.12399693560330198,59,39,38,-1,-1.014643939375511
4308917SE,5,2,7,8,0,8,8,-0.1659958948992875,26,11,20,9,-0.718960617329862
4308917SW,43,28,71,3830,1800,5630,2030,0.5922353166764512,95,86,76,-10,-1.280758929216595
4308918CE,49,13,62,4289,2430,6719,1859,0.5281119056084733,124,81,119,38,0.13852101660251975
4308918SE,3,4,7,361,480,841,-119,-0.21361971481527112,39,18,33,15,-0.5415506241024727
4308918SW,10,3,13,256,240,496,16,-0.16299596923528856,62,15,57,42,0.25679434542077934
4308921CE,104,20,124,2520,1890,4410,630,0.06724832547663212,104,65,97,32,-0.03888897662486959
4308921CW,24,4,28,296,0,296,296,-0.057998570995324725,61,5,59,54,0.611614331875558
4308921NE,8,2,10,51,0,51,51,-0.14987129445529307,36,2,35,33,-0.009320644420304698
4308922CE,96,17,113,5568,1860,7428,3708,1.2214697247002344,146,66,139,73,1.173412643762291
4308922NE,7,1,8,50,0,50,50,-0.15024628516329294,42,1,41,40,0.19765768101164954
4308923CE,83,22,105,6644,2370,9014,4274,1.4337144654281613,124,69,119,50,0.49334100305729844
4308923CW,238,73,311,23682,5010,28692,18672,6.832830679210302,158,74,157,83,1.4690959658079399
4308923NE,7,1,8,50,0,50,50,-0.15024628516329294,28,1,27,26,-0.21629896985225894
4308923NW,47,3,50,2129,60,2189,2069,0.6068599542884462,84,3,84,81,1.40995930139881
4308923SE,33,1,34,399,0,399,399,-0.019374528071338035,56,15,51,36,0.07938435219338998
4308923SW,121,37,158,6864,540,7404,6324,2.202445416827896,121,53,118,65,0.9368659861257718
4308924CE,84,23,107,2675,2406,5081,269,-0.06812332011132123,138,53,137,84,1.4986642980125047
4308924CW,208,5,213,7297,0,7297,7297,2.5673113757117707,106,5,106,101,2.001325945490108
4308924NE,146,6,152,3605,120,3725,3485,1.1378467968162633,120,7,119,112,2.3265775997403217
4308924SE,186,25,211,13780,90,13870,13690,4.964626971954945,160,61,160,99,1.942189281080978
4308924SW,18,2,20,742,0,742,742,0.10924728477261765,63,3,63,60,0.7890243251029474
4308925CE,37,14,51,1121,2820,3941,-1699,-0.8061050334550669,106,60,94,34,0.020247687784260192
4308925NE,8,41,49,125,6960,7085,-6835,-2.7320573097424035,79,66,52,-14,-1.3990322580348546
4308925SW,4,3,7,32,0,32,32,-0.15699611790729062,31,6,28,22,-0.3345722986705185
4308926CE,33,22,55,2386,3780,6166,-1394,-0.6917328675151064,111,87,92,5,-0.8372339461481216
4308926CW,8,1,9,131,0,131,131,-0.11987203781530341,52,1,52,51,0.5229093352618633
4308926NE,7,1,8,170,0,170,170,-0.10524740020330844,38,1,38,37,0.10895268439795486
4308926NW,25,1,26,885,0,885,885,0.16287095601659918,75,1,75,74,1.2029809759668557
4308926SE,13,1,14,648,0,648,648,0.0739981582206298,66,2,66,64,0.9072976539212069
4308926SW,6,10,16,51,0,51,51,-0.14987129445529307,30,8,25,17,-0.48241395969334294
4308927CE,46,21,67,3636,1560,5196,2076,0.6094848892444452,108,74,103,29,-0.12759397323856425
4308927CW,37,1,38,2201,0,2201,2201,0.6563587277444292,103,2,103,101,2.001325945490108
4308927NE,53,37,90,2298,2970,5268,-672,-0.4209895763391997,115,47,114,67,0.9960026505349016
4308927SE,15,3,18,474,0,474,474,0.008749775028652276,59,3,56,53,0.5820459996709931
4308927SW,6,1,7,200,0,200,200,-0.09399767896331232,64,1,64,63,0.877729321716642
4308928CE,184,25,209,5729,3240,8969,2489,0.7643560516483919,156,94,150,56,0.6707509962846878
4308931CE,38,16,54,2763,3750,6513,-987,-0.539111649359159,83,68,73,5,-0.8372339461481216
4308931NE,18,1,19,319,0,319,319,-0.049373784711327695,32,2,31,29,-0.12759397323856425
4308932CE,32,34,66,3397,1245,4642,2152,0.6379841830524354,93,74,78,4,-0.8668022783526865
4308933CE,95,24,119,3638,4080,7718,-442,-0.3347417134992294,116,78,105,27,-0.18673063764769404
4308933CW,299,47,346,7882,1230,9112,6652,2.3254423690518538,127,72,122,50,0.49334100305729844
4308933NE,197,9,206,9240,0,9240,9240,3.2959183213555194,138,27,137,110,2.2674409353311917
4308933NW,28,6,34,306,0,306,306,-0.05424866391532602,72,7,70,63,0.877729321716642
4308933SE,55,3,58,1173,0,1173,1173,0.27086827992056195,95,6,94,88,1.6169376268307643
4308933SW,29,5,34,298,0,298,298,-0.057248589579324986,66,5,65,60,0.7890243251029474
4308934CE,121,21,142,4158,1575,5733,2583,0.7996051782003798,100,56,96,40,0.19765768101164954
4308934CW,5,1,6,6,0,6,6,-0.16674587631528726,9,1,8,7,-0.7780972817389918
4308934NW,21,2,23,162,0,162,162,-0.10824732586730741,51,2,51,49,0.46377267085273355
4308934SE,126,13,139,1949,0,1949,1949,0.5618610693284617,112,32,106,74,1.2029809759668557
4308934SW,26,2,28,264,0,264,264,-0.0699982736513206,76,2,76,74,1.2029809759668557
4308935CE,90,13,103,5793,1500,7293,4293,1.4408392888801589,107,69,99,30,-0.09802564103399937
4308935NE,4,1,5,140,0,140,140,-0.11649712144330457,10,1,9,8,-0.748528949534427
4308935SE,9,1,10,517,0,517,517,0.02487437547264672,71,8,68,60,0.7890243251029474
4308936CE,72,27,99,2728,6195,8923,-3467,-1.4690886051988385,110,75,101,26,-0.21629896985225894
4308936CW,41,18,59,1477,510,1987,967,0.19362019407258857,98,54,89,35,0.04981601998882508
4308936NE,8,1,9,81,0,81,81,-0.13862157321529694,28,1,27,26,-0.21629896985225894
4308936NW,165,21,186,10037,3120,13157,6917,2.42481490667182,114,85,109,24,-0.27543563426138873
4308936SE,9,26,35,478,3840,4318,-3362,-1.429714580858852,109,79,84,5,-0.8372339461481216
4308936SW,58,8,66,1840,0,1840,1840,0.5209870821564757,110,7,109,102,2.0308942776946726
4308937CE,46,13,59,1652,2310,3962,-658,-0.4157397064272015,92,62,87,25,-0.24586730205682383
4308937CW,71,1,72,240,0,240,240,-0.0789980506433175,72,1,72,71,1.1142759793531611
4308937NE,63,15,78,2069,780,2849,1289,0.31436720204854696,72,55,65,10,-0.6893922851252972
4308937NW,52,3,55,390,0,390,390,-0.02274944444333687,86,40,82,42,0.25679434542077934
4308937SE,33,2,35,211,0,211,211,-0.08987278117531375,68,3,67,64,0.9072976539212069
4308937SW,27,13,40,110,0,110,110,-0.1277468426833007,66,15,63,48,0.43420433864816865
4308938CE,44,29,73,1325,5175,6500,-3850,-1.6127100463627893,95,82,87,5,-0.8372339461481216
4308938NE,76,24,100,2191,0,2191,2191,0.6526088206644304,126,98,118,20,-0.39370896307964826
4308938NW,347,82,429,7673,0,7673,7673,2.708307881919722,140,115,130,15,-0.5415506241024727
4308941CE,53,64,117,2197,690,2887,1507,0.3961151763925188,104,69,83,14,-0.5711189563070376
4308941SE,16,2,18,181,0,181,181,-0.10112250241530987,48,2,46,44,0.31593100982990907
4308942CE,96,38,134,6457,3870,10327,2587,0.8011051410323793,124,112,107,-5,-1.1329172681937705
4308942CW,72,1,73,312,0,312,312,-0.05199871966732679,75,1,75,74,1.2029809759668557
4308942SW,17,1,18,950,0,950,950,0.18724535203659076,66,1,66,65,0.9368659861257718
4308943CE,172,13,185,6590,2025,8615,4565,1.5428367614561236,130,79,125,46,0.37506767423903886
4308943CW,80,3,83,1413,0,1413,1413,0.36086604984053094,91,4,89,85,1.5282326302170697
4308943NE,94,2,96,2316,0,2316,2316,0.6994826591644142,89,2,88,86,1.5578009624216345
4308943NW,12,3,15,281,0,281,281,-0.06362343161532279,38,4,36,32,-0.03888897662486959
4308943SE,59,12,71,1913,709.8,2622.8,1203.2,0.2821929993021581,107,35,101,66,0.9664343183303367
4308943SW,21,10,31,893,0,893,893,0.16587088168059813,60,14,53,39,0.16808934880708465
4308944CE,151,28,179,4699,5640,10339,-941,-0.5218620767911649,121,96,108,12,-0.6302556207161674
4308944CW,90,8,98,905,0,905,905,0.1703707701765966,87,7,87,80,1.380390969194245
4308944NE,51,3,54,1435,0,1435,1435,0.3691158454165281,85,3,84,81,1.40995930139881
4308944SE,31,2,33,879,0,879,879,0.16062101176859994,80,2,80,78,1.3212543047851153
4308944SW,8,1,9,102,0,102,102,-0.13074676834729965,5,1,4,3,-0.8963706105572514
4308945CE,133,11,144,4810,2220,7030,2590,0.8022301131563789,104,61,101,40,0.19765768101164954
4308945CW,31,3,34,265,0,265,265,-0.06962328294332072,63,7,62,55,0.6411826640801229
4308945NE,118,6,124,4074,0,4074,4074,1.3587163238281872,94,40,90,50,0.49334100305729844
4308945SE,14,3,17,342,0,342,342,-0.040748998427330665,56,6,54,48,0.43420433864816865
4308946CE,110,29,139,3392,6186,9578,-2794,-1.2167198587149255,116,91,103,12,-0.6302556207161674
4308946CW,35,1,36,1173,0,1173,1173,0.27086827992056195,93,2,93,91,1.705642623444459
4308946NE,23,6,29,747,0,747,747,0.111122238312617,89,56,83,27,-0.18673063764769404
4308946NW,9,23,32,125,420,545,-295,-0.2796180794232484,60,50,42,-8,-1.2216222648074653
4308946SE,17,35,52,395,4683,5078,-4288,-1.7769559764667326,104,96,76,-20,-1.5764422512622438
4308946SW,321,74,395,13724,12541.2,26265.2,1182.7999999999993,0.2745431888589604,151,120,137,17,-0.48241395969334294
4308947CE,61,57,118,2189,1500,3689,689,0.0893727772486245,108,67,96,29,-0.12759397323856425
4308947CW,43,4,47,287,0,287,287,-0.061373487367323565,74,39,67,28,-0.15716230544312915
4308947SE,256,40,296,13658,600,14258,13058,4.727632844499026,143,100,138,38,0.13852101660251975
4308947SW,73,12,85,1230,0,1230,1230,0.29224275027655455,90,68,84,16,-0.5119822918979079
4308948CE,37,10,47,1688,2400,4088,-712,-0.4359892046591945,91,69,86,17,-0.48241395969334294
4308948CW,9,1,10,62,0,62,62,-0.1457463966672945,59,23,55,32,-0.03888897662486959
4308948NE,15,3,18,205,0,205,205,-0.09212272542331297,77,34,73,39,0.16808934880708465
4308948NW,1,1,2,30,0,30,30,-0.15774609932329037,38,36,11,-25,-1.7242839122850684
4308948SE,37,17,54,783,0,783,783,0.12462190380061235,84,55,72,17,-0.48241395969334294
4308951CE,52,9,61,1853,1275,3128,578,0.04774880866063884,84,61,74,13,-0.6006872885116025
4308952CE,82,23,105,2802,3390,6192,-588,-0.3894903568672105,95,77,86,9,-0.718960617329862
4308953CE,85,20,105,1527,2790,4317,-1263,-0.6426090847671233,93,77,84,7,-0.7780972817389918
4308953CW,18,2,20,619,0,619,619,0.06312342768863355,57,2,56,54,0.611614331875558
4308953SE,57,30,87,672,0,672,672,0.08299793521262669,81,71,61,-10,-1.280758929216595
4308953SW,14,2,16,94,0,94,94,-0.13374669401129863,46,2,46,44,0.31593100982990907
4308954CE,54,27,81,2673,4410,7083,-1737,-0.820354680359062,119,89,108,19,-0.42327729528421315
4308954CW,18,7,25,186,0,186,186,-0.09924754887531051,37,7,33,26,-0.21629896985225894
4308954NE,6,3,9,290,0,290,290,-0.06024851524332395,25,3,23,20,-0.39370896307964826
4308954NW,59,26,85,69,315,384,-246,-0.2612435347312547,58,29,55,26,-0.21629896985225894
4308954SE,93,4,97,3847,0,3847,3847,1.2735934331122165,98,6,97,91,1.705642623444459
4308954SW,77,10,87,4346,0,4346,4346,1.460713796404152,109,7,105,98,1.9126209488764132
4308955CE,69,14,83,2248,3820.2,6068.2,-1572.1999999999998,-0.7585562116806833,117,93,105,12,-0.6302556207161674
4308955CW,32,13,45,3581,2883.6000000000004,6464.6,697.3999999999996,0.09252269919582327,95,75,70,-5,-1.1329172681937705
4308955NW,20,2,22,485,0,485,485,0.012874672816650855,67,2,66,64,0.9072976539212069
4308955SW,24,12,36,1611,3304.7999999999997,4915.799999999999,-1693.7999999999997,-0.8041550817734675,94,80,64,-16,-1.4581689224439844
4308956CE,92,30,122,8403,4398,12801,4005,1.3328419649761962,124,86,120,34,0.020247687784260192
4308956NW,6,1,7,115,0,115,115,-0.12587188914330133,53,1,52,51,0.5229093352618633
4308957CE,157,15,172,5368,690,6058,4678,1.585210711460109,118,58,112,54,0.611614331875558
4308957CW,5,2,7,416,0,416,416,-0.01299968603534023,45,2,43,41,0.22722601321621444
4308957NE,7,2,9,360,0,360,360,-0.03399916568333299,33,2,31,29,-0.12759397323856425
4308957NW,9,1,10,237,0,237,237,-0.0801230227673171,48,1,48,47,0.40463600644360376
4308957SE,2,1,3,7,0,7,7,-0.16637088560728738,4,1,3,2,-0.9259389427618163
4308957SW,8,1,9,80,120,200,-40,-0.18399544888328132,62,23,56,33,-0.009320644420304698
4308958CE,86,20,106,3869,2940,6809,929,0.1793705471685935,110,88,92,4,-0.8668022783526865
4308958SE,2,3,5,5,360,365,-355,-0.30211752190324065,63,60,14,-46,-2.345218888580931
4308961CE,33,7,40,862,765,1627,97,-0.132621721887299,71,60,55,-5,-1.1329172681937705
4308961NE,11,1,12,80,0,80,80,-0.13899656392329682,38,1,38,37,0.10895268439795486
4308961SE,27,9,36,819,315,1134,504,0.0199994962686484,94,55,82,27,-0.18673063764769404
4308962CE,72,4,76,1380,810,2190,570,0.04474888299663987,116,74,110,36,0.07938435219338998
4308962CW,11,1,12,195,0,195,195,-0.09587263250331167,77,1,76,75,1.2325493081714207
4308962NE,55,2,57,604,0,604,604,0.05749856706863548,103,2,102,100,1.971757613285543
4308962NW,49,24,73,3128,4080,7208,-952,-0.5259869745791635,145,110,126,16,-0.5119822918979079
4308963CE,18,6,24,1437,1440,2877,-3,-0.17012079268728608,111,72,108,36,0.07938435219338998
4308963NE,33,3,36,1903,0,1903,1903,0.5446114967604676,102,3,101,98,1.9126209488764132
